rank,city,state,population,growth
164,Rockford,Illinois,150251,-0.01
165,Alexandria,Virginia,148892,0.15
166,Escondido,California,148738,0.11
167,McKinney,Texas,148559,1.65
168,Kansas City,Kansas,148483,0.01
169,Joliet,Illinois,147806,0.37
170,Sunnyvale,California,147559,0.12
171,Torrance,California,147478,0.07
172,Bridgeport,Connecticut,147216,0.05
173,Lakewood,Colorado,147214,0.02
174,Hollywood,Florida,146526,0.05
175,Paterson,New Jersey,145948,-0.02
176,Naperville,Illinois,144864,0.12
177,Syracuse,New York,144669,-0.01
178,Mesquite,Texas,143484,0.15
179,Dayton,Ohio,143355,-0.14
180,Savannah,Georgia,142772,0.08
181,Clarksville,Tennessee,142357,0.37
182,Orange,California,139969,0.08
183,Pasadena,California,139731,0.04
184,Fullerton,California,138981,0.1
185,Killeen,Texas,137147,0.52
186,Frisco,Texas,136791,2.88
187,Hampton,Virginia,136699,-0.07
188,McAllen,Texas,136639,0.28
189,Warren,Michigan,134873,-0.02
190,Bellevue,Washington,133992,0.19
191,West Valley City,Utah,133579,0.22
192,Columbia,South Carolina,133358,0.12
193,Olathe,Kansas,131885,0.4
194,Sterling Heights,Michigan,131224,0.05
195,New Haven,Connecticut,130660,0.06
196,Miramar,Florida,130288,0.75
197,Waco,Texas,129030,0.13
198,Thousand Oaks,California,128731,0.1
199,Cedar Rapids,Iowa,128429,0.05
200,Charleston,South Carolina,127999,0.29
201,Visalia,California,127763,0.34
202,Topeka,Kansas,127679,0.03
203,Elizabeth,New Jersey,127558,0.06
204,Gainesville,Florida,127488,0.13
205,Thornton,Colorado,127359,0.53
206,Roseville,California,127035,0.56
207,Carrollton,Texas,126700,0.15
208,Coral Springs,Florida,126604,0.06
209,Stamford,Connecticut,126456,0.08
210,Simi Valley,California,126181,0.13
211,Concord,California,125880,0.03
212,Hartford,Connecticut,125017,0.01
213,Kent,Washington,124435,0.54
214,Lafayette,Louisiana,124276,0.11
215,Midland,Texas,123933,0.3
216,Surprise,Arizona,123546,2.82
217,Denton,Texas,123099,0.47
218,Victorville,California,121096,0.88
219,Evansville,Indiana,120310,-0.01
220,Santa Clara,California,120245,0.17
221,Abilene,Texas,120099,0.04
222,Athens-Clarke County,Georgia,119980,0.19
223,Vallejo,California,118837,0.01
224,Allentown,Pennsylvania,118577,0.11
225,Norman,Oklahoma,118197,0.22
226,Beaumont,Texas,117796,0.04
227,Independence,Missouri,117240,0.03
228,Murfreesboro,Tennessee,117044,0.65
229,Ann Arbor,Michigan,117025,0.02
230,Springfield,Illinois,117006,0.04
231,Berkeley,California,116768,0.13
232,Peoria,Illinois,116513,0.03
233,Provo,Utah,116288,0.1
234,El Monte,California,115708,0
235,Columbia,Missouri,115276,0.34
236,Lansing,Michigan,113972,-0.04
237,Fargo,North Dakota,113658,0.25
238,Downey,California,113242,0.05
239,Costa Mesa,California,112174,0.02
240,Wilmington,North Carolina,112067,0.25
241,Arvada,Colorado,111707,0.09
242,Inglewood,California,111542,-0.01
243,Miami Gardens,Florida,111378,0.11
244,Carlsbad,California,110972,0.4
245,Westminster,Colorado,110945,0.09
246,Rochester,Minnesota,110742,0.24
247,Odessa,Texas,110720,0.22
248,Manchester,New Hampshire,110378,0.03
249,Elgin,Illinois,110145,0.16
250,West Jordan,Utah,110077,0.38
251,Round Rock,Texas,109821,0.81
252,Clearwater,Florida,109703,0
253,Waterbury,Connecticut,109676,0.02
254,Gresham,Oregon,109397,0.21
255,Fairfield,California,109320,0.13
256,Billings,Montana,109059,0.19
257,Lowell,Massachusetts,108861,0.03
258,San Buenaventura (Ventura),California,108817,0.07
259,Pueblo,Colorado,108249,0.06
260,High Point,North Carolina,107741,0.24
261,West Covina,California,107740,0.02
262,Richmond,California,107571,0.08
263,Murrieta,California,107479,1.07
264,Cambridge,Massachusetts,107289,0.06
265,Antioch,California,107100,0.17
266,Temecula,California,106780,0.55
267,Norwalk,California,106589,0.02
268,Centennial,Colorado,106114,0.04
269,Everett,Washington,105370,0.09
270,Palm Bay,Florida,104898,0.32
271,Wichita Falls,Texas,104898,0.01
272,Green Bay,Wisconsin,104779,0.02
273,Daly City,California,104739,0.01
274,Burbank,California,104709,0.04
275,Richardson,Texas,104475,0.13
276,Pompano Beach,Florida,104410,0.04
277,North Charleston,South Carolina,104054,0.27
