rank,city,state,population,growth
723,Glendora,California,51074,0.03
724,Southaven,Mississippi,50997,0.73
725,Charleston,West Virginia,50821,-0.05
726,Joplin,Missouri,50789,0.11
727,Enid,Oklahoma,50725,0.08
728,Palm Beach Gardens,Florida,50699,0.4
729,Brookhaven,Georgia,50603,
730,Plainfield,New Jersey,50588,0.06
731,Grand Island,Nebraska,50550,0.16
732,Palm Desert,California,50508,0.13
733,Huntersville,North Carolina,50458,0.93
734,Tigard,Oregon,50444,0.18
735,Lenexa,Kansas,50344,0.25
736,Saginaw,Michigan,50303,-0.18
737,Kentwood,Michigan,50233,0.11
738,Doral,Florida,50213,1.38
739,Apple Valley,Minnesota,50201,0.09
740,Grapevine,Texas,50195,0.18
741,Aliso Viejo,California,50175,0.25
742,Sammamish,Washington,50169,0.44
743,Casa Grande,Arizona,50111,0.86
744,Pinellas Park,Florida,49998,0.06
745,Troy,New York,49974,0.02
746,West Sacramento,California,49891,0.56
747,Burien,Washington,49858,0.57
748,Commerce City,Colorado,49799,1.35
749,Monroe,Louisiana,49761,-0.06
750,Cerritos,California,49707,-0.04
751,Downers Grove,Illinois,49670,0
752,Coral Gables,Florida,49631,0.16
753,Wilson,North Carolina,49628,0.1
754,Niagara Falls,New York,49468,-0.11
755,Poway,California,49417,0.02
756,Edina,Minnesota,49376,0.04
757,Cuyahoga Falls,Ohio,49267,0
758,Rancho Santa Margarita,California,49228,0.05
759,Harrisburg,Pennsylvania,49188,0.01
760,Huntington,West Virginia,49177,-0.05
761,La Mirada,California,49133,0.05
762,Cypress,California,49087,0.05
763,Caldwell,Idaho,48957,0.77
764,Logan,Utah,48913,0.15
765,Galveston,Texas,48733,-0.15
766,Sheboygan,Wisconsin,48725,-0.04
767,Middletown,Ohio,48630,-0.06
768,Murray,Utah,48612,0.07
769,Roswell,New Mexico,48611,0.08
770,Parker,Colorado,48608,0.96
771,Bedford,Texas,48592,0.03
772,East Lansing,Michigan,48554,0.04
773,Methuen,Massachusetts,48514,0.1
774,Covina,California,48508,0.03
775,Alexandria,Louisiana,48426,0.04
776,Olympia,Washington,48338,0.12
777,Euclid,Ohio,48139,-0.08
778,Mishawaka,Indiana,47989,0.02
779,Salina,Kansas,47846,0.05
780,Azusa,California,47842,0.07
781,Newark,Ohio,47777,0.03
782,Chesterfield,Missouri,47749,0.02
783,Leesburg,Virginia,47673,0.66
784,Dunwoody,Georgia,47591,
785,Hattiesburg,Mississippi,47556,0.03
786,Roseville,Michigan,47555,-0.01
787,Bonita Springs,Florida,47547,0.44
788,Portage,Michigan,47523,0.06
789,St. Louis Park,Minnesota,47411,0.07
790,Collierville,Tennessee,47333,0.43
791,Middletown,Connecticut,47333,0.04
792,Stillwater,Oklahoma,47186,0.2
793,East Providence,Rhode Island,47149,-0.03
794,Lawrence,Indiana,47135,0.21
795,Wauwatosa,Wisconsin,47134,0
796,Mentor,Ohio,46979,-0.07
797,Ceres,California,46714,0.34
798,Cedar Hill,Texas,46663,0.42
799,Mansfield,Ohio,46454,-0.1
800,Binghamton,New York,46444,-0.02
801,Coeur d'Alene,Idaho,46402,0.33
802,San Luis Obispo,California,46377,0.04
803,Minot,North Dakota,46321,0.27
804,Palm Springs,California,46281,0.08
805,Pine Bluff,Arkansas,46094,-0.16
806,Texas City,Texas,46081,0.1
807,Summerville,South Carolina,46074,0.63
808,Twin Falls,Idaho,45981,0.32
809,Jeffersonville,Indiana,45929,0.53
810,San Jacinto,California,45851,0.92
811,Madison,Alabama,45799,0.54
812,Altoona,Pennsylvania,45796,-0.07
813,Columbus,Indiana,45775,0.16
814,Beavercreek,Ohio,45712,0.19
815,Apopka,Florida,45587,0.64
816,Elmhurst,Illinois,45556,0.06
817,Maricopa,Arizona,45508,25.03
818,Farmington,New Mexico,45426,0.18
819,Glenview,Illinois,45417,0.05
820,Cleveland Heights,Ohio,45394,-0.1
821,Draper,Utah,45285,0.77
822,Lincoln,California,45237,2.85
823,Sierra Vista,Arizona,45129,0.19
824,Lacey,Washington,44919,0.42
825,Biloxi,Mississippi,44820,-0.12
826,Strongsville,Ohio,44730,0.02
827,Barnstable Town,Massachusetts,44641,-0.07
828,Wylie,Texas,44575,1.85
829,Sayreville,New Jersey,44412,0.1
830,Kannapolis,North Carolina,44359,0.19
831,Charlottesville,Virginia,44349,0.11
832,Littleton,Colorado,44275,0.09
833,Titusville,Florida,44206,0.08
834,Hackensack,New Jersey,44113,0.03
835,Newark,California,44096,0.03
836,Pittsfield,Massachusetts,44057,-0.04
837,York,Pennsylvania,43935,0.06
838,Lombard,Illinois,43907,0.03
839,Attleboro,Massachusetts,43886,0.05
840,DeKalb,Illinois,43849,0.12
841,Blacksburg,Virginia,43609,0.09
842,Dublin,Ohio,43607,0.38
843,Haltom City,Texas,43580,0.11
844,Lompoc,California,43509,0.06
845,El Centro,California,43363,0.14
846,Danville,California,43341,0.04
847,Jefferson City,Missouri,43330,0.07
848,Cutler Bay,Florida,43328,0.43
849,Oakland Park,Florida,43286,0.03
850,North Miami Beach,Florida,43250,0.04
851,Freeport,New York,43167,-0.01
852,Moline,Illinois,43116,-0.02
853,Coachella,California,43092,0.88
854,Fort Pierce,Florida,43074,0.07
855,Smyrna,Tennessee,43060,0.55
856,Bountiful,Utah,43023,0.04
857,Fond du Lac,Wisconsin,42970,0.02
858,Everett,Massachusetts,42935,0.12
859,Danville,Virginia,42907,-0.11
860,Keller,Texas,42907,0.53
861,Belleville,Illinois,42895,0.01
862,Bell Gardens,California,42889,-0.03
863,Cleveland,Tennessee,42774,0.14
864,North Lauderdale,Florida,42757,0.11
865,Fairfield,Ohio,42635,0.01
866,Salem,Massachusetts,42544,0.05
867,Rancho Palos Verdes,California,42448,0.03
868,San Bruno,California,42443,0.06
869,Concord,New Hampshire,42419,0.04
870,Burlington,Vermont,42284,0.06
871,Apex,North Carolina,42214,0.99
872,Midland,Michigan,42181,0.01
873,Altamonte Springs,Florida,42150,0.02
874,Hutchinson,Kansas,41889,0
875,Buffalo Grove,Illinois,41778,-0.03
876,Urbandale,Iowa,41776,0.42
877,State College,Pennsylvania,41757,0.09
878,Urbana,Illinois,41752,0.1
879,Plainfield,Illinois,41734,2.04
880,Manassas,Virginia,41705,0.2
881,Bartlett,Illinois,41679,0.13
882,Kearny,New Jersey,41664,0.03
883,Oro Valley,Arizona,41627,0.27
884,Findlay,Ohio,41512,0.06
885,Rohnert Park,California,41398,0
887,Westfield,Massachusetts,41301,0.03
886,Linden,New Jersey,41301,0.05
888,Sumter,South Carolina,41190,0.01
889,Wilkes-Barre,Pennsylvania,41108,-0.04
890,Woonsocket,Rhode Island,41026,-0.05
891,Leominster,Massachusetts,41002,-0.01
892,Shelton,Connecticut,40999,0.07
893,Brea,California,40963,0.15
894,Covington,Kentucky,40956,-0.05
895,Rockwall,Texas,40922,1.17
896,Meridian,Mississippi,40921,-0.01
897,Riverton,Utah,40921,0.62
898,St. Cloud,Florida,40918,0.86
899,Quincy,Illinois,40915,0.01
900,Morgan Hill,California,40836,0.2
901,Warren,Ohio,40768,-0.15
902,Edmonds,Washington,40727,0.03
903,Burleson,Texas,40714,0.85
904,Beverly,Massachusetts,40664,0.02
905,Mankato,Minnesota,40641,0.25
906,Hagerstown,Maryland,40612,0.1
907,Prescott,Arizona,40590,0.18
908,Campbell,California,40584,0.04
909,Cedar Falls,Iowa,40566,0.12
910,Beaumont,California,40481,2.55
911,La Puente,California,40435,-0.02
912,Crystal Lake,Illinois,40388,0.05
913,Fitchburg,Massachusetts,40383,0.04
914,Carol Stream,Illinois,40379,0
915,Hickory,North Carolina,40361,0.07
916,Streamwood,Illinois,40351,0.1
917,Norwich,Connecticut,40347,0.12
918,Coppell,Texas,40342,0.1
919,San Gabriel,California,40275,0.01
920,Holyoke,Massachusetts,40249,0.01
921,Bentonville,Arkansas,40167,0.98
922,Florence,Alabama,40059,0.1
923,Peachtree Corners,Georgia,40059,
924,Brentwood,Tennessee,40021,0.52
925,Bozeman,Montana,39860,0.42
926,New Berlin,Wisconsin,39834,0.04
927,Goose Creek,South Carolina,39823,0.26
928,Huntsville,Texas,39795,0.13
929,Prescott Valley,Arizona,39791,0.63
930,Maplewood,Minnesota,39765,0.12
931,Romeoville,Illinois,39650,0.8
932,Duncanville,Texas,39605,0.1
933,Atlantic City,New Jersey,39551,-0.02
934,Clovis,New Mexico,39508,0.21
935,The Colony,Texas,39458,0.46
936,Culver City,California,39428,0.01
937,Marlborough,Massachusetts,39414,0.08
938,Hilton Head Island,South Carolina,39412,0.16
939,Moorhead,Minnesota,39398,0.21
940,Calexico,California,39389,0.44
941,Bullhead City,Arizona,39383,0.16
942,Germantown,Tennessee,39375,0.04
943,La Quinta,California,39331,0.6
944,Lancaster,Ohio,39325,0.11
945,Wausau,Wisconsin,39309,0.02
946,Sherman,Texas,39296,0.12
947,Ocoee,Florida,39172,0.58
948,Shakopee,Minnesota,39167,0.86
949,Woburn,Massachusetts,39083,0.04
950,Bremerton,Washington,39056,0.05
951,Rock Island,Illinois,38877,-0.02
952,Muskogee,Oklahoma,38863,-0.01
953,Cape Girardeau,Missouri,38816,0.09
954,Annapolis,Maryland,38722,0.08
955,Greenacres,Florida,38696,0.36
956,Ormond Beach,Florida,38661,0.06
957,Hallandale Beach,Florida,38632,0.12
958,Stanton,California,38623,0.03
959,Puyallup,Washington,38609,0.12
960,Pacifica,California,38606,0.01
961,Hanover Park,Illinois,38510,0.01
962,Hurst,Texas,38448,0.06
963,Lima,Ohio,38355,-0.08
964,Marana,Arizona,38290,1.66
965,Carpentersville,Illinois,38241,0.23
966,Oakley,California,38194,0.48
967,Huber Heights,Ohio,38142,0
968,Lancaster,Texas,38071,0.46
969,Montclair,California,38027,0.12
970,Wheeling,Illinois,38015,0.05
971,Brookfield,Wisconsin,37999,-0.02
972,Park Ridge,Illinois,37839,0
973,Florence,South Carolina,37792,0.2
974,Roy,Utah,37733,0.13
975,Winter Garden,Florida,37711,1.43
976,Chelsea,Massachusetts,37670,0.07
977,Valley Stream,New York,37659,0.04
978,Spartanburg,South Carolina,37647,-0.06
979,Lake Oswego,Oregon,37610,0.05
980,Friendswood,Texas,37587,0.29
981,Westerville,Ohio,37530,0.06
982,Northglenn,Colorado,37499,0.16
983,Phenix City,Alabama,37498,0.32
984,Grove City,Ohio,37490,0.36
985,Texarkana,Texas,37442,0.07
986,Addison,Illinois,37385,0.03
987,Dover,Delaware,37366,0.16
988,Lincoln Park,Michigan,37313,-0.07
989,Calumet City,Illinois,37240,-0.05
990,Muskegon,Michigan,37213,-0.07
991,Aventura,Florida,37199,0.47
992,Martinez,California,37165,0.03
993,Greenfield,Wisconsin,37159,0.05
994,Apache Junction,Arizona,37130,0.16
995,Monrovia,California,37101,0
996,Weslaco,Texas,37093,0.29
997,Keizer,Oregon,37064,0.14
998,Spanish Fork,Utah,36956,0.78
999,Beloit,Wisconsin,36888,0.03
1000,Panama City,Florida,36877,0
